Data,Temperatura (°C),Temperatura máx (°C),Temperatura mín (°C),Temperatura da água (°C),Precipitação (mm),Horas de sol (h)
23/03/2021,27 °C,31 °C,24 °C,29 °C,3.5 mm,6.9
24/03/2021,26 °C,31 °C,24 °C,29 °C,2.7 mm,6.6
25/03/2021,26 °C,31 °C,24 °C,29 °C,3.5 mm,6.7
26/03/2021,26 °C,31 °C,24 °C,29 °C,2.8 mm,6.7
27/03/2021,27 °C,31 °C,24 °C,29 °C,3.5 mm,7.2
28/03/2021,26 °C,30 °C,24 °C,29 °C,3.3 mm,6.2
29/03/2021,26 °C,31 °C,24 °C,29 °C,3.7 mm,6.8
30/03/2021,26 °C,30 °C,24 °C,29 °C,4.0 mm,6.2
31/03/2021,26 °C,30 °C,24 °C,29 °C,4.2 mm,6.1
01/04/2021,26 °C,30 °C,24 °C,29 °C,3.3 mm,6.7
02/04/2021,26 °C,31 °C,24 °C,29 °C,2.4 mm,6.9
03/04/2021,27 °C,31 °C,24 °C,29 °C,2.5 mm,7.5
04/04/2021,27 °C,31 °C,24 °C,29 °C,2.8 mm,7.1
05/04/2021,26 °C,31 °C,24 °C,29 °C,2.6 mm,6.7
06/04/2021,27 °C,31 °C,24 °C,29 °C,2.6 mm,6.9
07/04/2021,27 °C,31 °C,24 °C,29 °C,3.0 mm,7.2
08/04/2021,27 °C,31 °C,24 °C,29 °C,3.1 mm,6.8
09/04/2021,26 °C,30 °C,24 °C,29 °C,3.9 mm,6.6
10/04/2021,26 °C,30 °C,24 °C,29 °C,3.2 mm,6.6
11/04/2021,26 °C,30 °C,24 °C,29 °C,4.0 mm,6.4
12/04/2021,26 °C,29 °C,24 °C,29 °C,8.4 mm,5.8
13/04/2021,26 °C,29 °C,24 °C,29 °C,4.7 mm,6.2
14/04/2021,26 °C,30 °C,24 °C,29 °C,4.5 mm,6.3
15/04/2021,26 °C,30 °C,24 °C,29 °C,3.0 mm,6.3
16/04/2021,26 °C,30 °C,24 °C,29 °C,2.7 mm,6.9
17/04/2021,26 °C,30 °C,24 °C,29 °C,3.0 mm,6.4
18/04/2021,26 °C,29 °C,24 °C,29 °C,7.4 mm,6.5
19/04/2021,26 °C,30 °C,24 °C,29 °C,4.4 mm,6.3
20/04/2021,26 °C,30 °C,24 °C,29 °C,2.6 mm,6.4
21/04/2021,26 °C,30 °C,24 °C,29 °C,3.0 mm,6.7
22/04/2021,26 °C,29 °C,24 °C,29 °C,4.2 mm,6.0
23/04/2021,26 °C,29 °C,24 °C,29 °C,4.3 mm,6.3
24/04/2021,26 °C,30 °C,24 °C,29 °C,2.9 mm,7.0
25/04/2021,26 °C,30 °C,24 °C,29 °C,3.3 mm,6.7
26/04/2021,26 °C,30 °C,24 °C,29 °C,2.2 mm,6.3
27/04/2021,26 °C,30 °C,24 °C,29 °C,3.1 mm,6.5
28/04/2021,26 °C,29 °C,24 °C,29 °C,4.2 mm,6.3
29/04/2021,26 °C,29 °C,24 °C,29 °C,8.3 mm,6.4
30/04/2021,26 °C,29 °C,24 °C,29 °C,5.9 mm,5.5
01/05/2021,26 °C,29 °C,24 °C,29 °C,4.3 mm,6.1
02/05/2021,26 °C,29 °C,24 °C,29 °C,4.0 mm,6.4
03/05/2021,26 °C,29 °C,24 °C,29 °C,5.2 mm,6.4
04/05/2021,26 °C,29 °C,24 °C,29 °C,2.8 mm,6.4
